World Port Index Number,Region Name,Main Port Name,Alternate Port Name,UN/LOCODE,Country Code,World Water Body,IHO S-130 Sea Area,Sailing Direction or Publication,Standard Nautical Chart,IHO S-57 Electronic Navigational Chart,IHO S-101 Electronic Navigational Chart,Digital Nautical Chart,Tidal Range (m),Entrance Width (m),Channel Depth (m),Anchorage Depth (m),Cargo Pier Depth (m),Oil Terminal Depth (m),Liquified Natural Gas Terminal Depth (m),Maximum Vessel Length (m),Maximum Vessel Beam (m),Maximum Vessel Draft (m),Offshore Maximum Vessel Length (m),Offshore Maximum Vessel Beam (m),Offshore Maximum Vessel Draft (m),Harbor Size,Harbor Type,Harbor Use,Shelter Afforded,Entrance Restriction - Tide,Entrance Restriction - Heavy Swell,Entrance Restriction - Ice,Entrance Restriction - Other,Overhead Limits,Underkeel Clearance Management System,Good Holding Ground,Turning Area,Port Security,Estimated Time of Arrival Message,Quarantine - Pratique,Quarantine - Sanitation,Quarantine - Other,Traffic Separation Scheme,Vessel Traffic Service,First Port of Entry,US Representative,Pilotage - Compulsory,Pilotage - Available,Pilotage - Local Assistance,Pilotage - Advisable,Tugs - Salvage,Tugs - Assistance,Communications - Telephone,Communications - Telefax,Communications - Radio,Communications - Radiotelephone,Communications - Airport,Communications - Rail,Search and Rescue,NAVAREA,Facilities - Wharves,Facilities - Anchorage,Facilities - Dangerous Cargo Anchorage,Facilities - Med Mooring,Facilities - Beach Mooring,Facilities - Ice Mooring,Facilities - Ro-Ro,Facilities - Solid Bulk,Facilities - Liquid Bulk,Facilities - Container,Facilities - Breakbulk,Facilities - Oil Terminal,Facilities - LNG Terminal,Facilities - Other,Medical Facilities,Garbage Disposal,Chemical Holding Tank Disposal,Degaussing,Dirty Ballast Disposal,Cranes - Fixed,Cranes - Mobile,Cranes - Floating,Cranes - Container,Lifts - 100+ Tons,Lifts - 50-100 Tons,Lifts - 25-49 Tons,Lifts - 0-24 Tons,Services - Longshoremen,Services - Electricity,Services - Steam,Services - Navigation Equipment,Services - Electrical Repair,Services - Ice Breaking,Services - Diving,Supplies - Provisions,Supplies - Potable Water,Supplies - Fuel Oil,Supplies - Diesel Oil,Supplies - Aviation Fuel,Supplies - Deck,Supplies - Engine,Repairs,Dry Dock,Railway,Latitude,Longitude
41670,Albania -- 41650,Durres,Durazzo, ,Albania,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean, ,Sailing Directions Pub. 132 (Enroute) - Eastern Mediterranean,54266, , ,"a0941670, coa09c, gen09, h0941670",1,0,7.9,7.9,7.9,6.4,0,0,0,0,0,0,0,Small,Coastal (Breakwater),Unknown,Fair,No,No,No,Yes,No,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Yes,No,Yes,Yes,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Yes,Unknown,Yes,Yes,Unknown,III,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Moderate,Medium,Large,41.316667,19.45
41660,Albania -- 41650,Shengjin,San Giovani Di Medua, ,Albania,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean, ,Sailing Directions Pub. 132 (Enroute) - Eastern Mediterranean,54131, , ,"a0941320, coa09c, gen09",0,0,3.4,20.1,4.9,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),Unknown,Fair,No,Yes,No,Yes,No,Unknown,Yes,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,No,Yes,Yes,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,III,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,41.816667,19.6
41690,Albania -- 41650,Vlores, , ,Albania,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean, ,Sailing Directions Pub. 132 (Enroute) - Eastern Mediterranean,54266, , ,"coa09c, gen09, h0941690",1,0,7.9,23.2,7.9,11,0,0,0,0,0,0,0,Very Small,Coastal (Natural),Unknown,Fair,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Yes,No,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Unknown,III,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,No,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,None,Unknown,Unknown,40.466667,19.5
45670,Algeria -- 45470,Ghazaouet,Nemours, ,Algeria,Mediterranean Sea; North Atlantic Ocean, ,Sailing Directions Pub. 131 (Enroute) - Western Mediterranean,52060, , ,"a0845670, coa08o, gen08b, h0845670",0,0,11,18.6,9.4,0,0,0,0,0,0,0,0,Very Small,Coastal (Breakwater),Unknown,Fair,Unknown,Yes,No,No,No,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,No,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,III,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,No,Yes,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Limited,Unknown,Large,35.1,-1.866667
45640,Algeria -- 45470,Oran, , ,Algeria,Mediterranean Sea; North Atlantic Ocean, ,Sailing Directions Pub. 131 (Enroute) - Western Mediterranean,52282/1, , ,"a0845640, coa08o, gen08b, h0845640",1,0,23.2,23.2,11,0,0,0,0,0,0,0,0,Large,Coastal (Breakwater),Unknown,Excellent,Unknown,Yes,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Unknown,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Unknown,III,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Yes,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Limited,Unknown,Large,35.7,-0.633333
45570,Algeria -- 45470,Alger,Algiers, ,Algeria,Mediterranean Sea; North Atlantic Ocean, ,Sailing Directions Pub. 131 (Enroute) - Western Mediterranean,52243, , ,"a0845570, coa08n, gen08a, h0845570",1,0,18.6,11,9.4,0,0,0,0,0,0,0,0,Large,Coastal (Breakwater),Unknown,Excellent,No,Yes,No,Yes,Unknown,Unknown,Yes,Yes,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Unknown,III,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Major,Small,Large,36.766667,3.066667
45550,Algeria -- 45470,Bejaia,Bougie, ,Algeria,Mediterranean Sea; North Atlantic Ocean, ,Sailing Directions Pub. 131 (Enroute) - Western Mediterranean, , , ,"a0845550, coa08n, gen08a, h0845550",0,0,14,9.4,9.4,0,0,0,0,0,0,0,0,Small,Coastal (Breakwater),Unknown,Good,No,Yes,No,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No,Yes,Yes,Unknown,Yes,Unknown,Yes,Yes,Unknown,Yes,Unknown,Yes,Yes,Unknown,III,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,No,Yes,Major,Large,Medium,36.75,5.083333
45490,Algeria -- 45470,Annaba,Bona; Bone, ,Algeria,Mediterranean Sea; North Atlantic Ocean, ,Sailing Directions Pub. 131 (Enroute) - Western Mediterranean,52202, , ,"a0845490, coa08n, gen08a, h0845490",0,0,12.5,20.1,12.5,0,0,0,0,0,0,0,0,Medium,Coastal (Breakwater),Unknown,Fair,Unknown,Yes,No,No,No,Unknown,Yes,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Yes,No,Yes,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,III,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,No,Yes,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Yes,Yes,Limited,Unknown,Medium,36.916667,7.766667
45525,Algeria -- 45470,Djen-Djen, , ,Algeria,Mediterranean Sea; North Atlantic Ocean, ,Sailing Directions Pub. 131 (Enroute) - Western Mediterranean,52220, , ,"coa08n, gen08a",0,0,0,0,11,0,0,0,0,0,0,0,0,Very Small,Coastal (Breakwater),Unknown,Fair,Unknown,Unknown,Unknown,Yes,No,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Unknown,Yes,Unknown,Unknown,III,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,No,Yes,Yes,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,None,Unknown,Unknown,36.816667,5.883333
45620,Algeria -- 45470,Mostaganem, , ,Algeria,Mediterranean Sea; North Atlantic Ocean, ,Sailing Directions Pub. 131 (Enroute) - Western Mediterranean,52263, , ,"a0845640, coa08o, gen08b, h0845620",0,0,11,23.2,6.4,0,0,0,0,0,0,0,0,Very Small,Coastal (Breakwater),Unknown,Good,Yes,Yes,No,No,Yes,Unknown,Yes,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,No,Yes,Yes,Unknown,No,No,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Unknown,III,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,No,Unknown,Unknown,Unknown,Limited,Medium,Small,35.933333,0.083333
