#object_id,update_time,longitude,latitude,speed,heading,altitude,ads_callsign,iata_callsign,squawk,status,aircraft_category,aircraft_construction_number,registration,aircraft_type,aircraft_type_full,airframe_mode_s_id,operator_category,airline,airline_iata,airline_icao,scheduled_arrival_time,scheduled_departure_time,actual_arrival_time,actual_departure_time,origin,origin_full,origin_iata,origin_longitude,origin_latitude,destination,destination_full,destination_iata,destination_longitude,destination_latitude,distance_from_origin,distance_to_destination,distance_from_origin_to_destination,percent_complete,is_blocked,is_general_aviation,route,route_faa,route_full,route_iata,sending_center_id,sending_center_id_full,waypoints
DAL54,2013-07-01 05:53:50,-66.75,28.25,,,33000,DAL54,DAL54,,A,,,,,,,,,,,,,,,KATL,,,,,DNMM,,,,,,,,,,,,ATL..CHS105019..JAINS.L375.DUNIG..2600N/06000W..2500N/05000W..2300N/04000W..ERNEK..LUMPO.UR976.YF.UA601.ENINO.UA601.EBSUD.UA601.BIGOM.UA601.TYE.UA609.POLTO.UA609.LAG..DNMM,,,,,
UAL48,2013-07-01 05:53:53,-42.1,58.4167,530,61,33000,UAL48,UAL48,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAL1988,2013-07-01 05:54:00,,,,,,DAL1988,DAL1988,,P,,,,,,,,,,,2013-07-01 10:53:00,2013-07-01 06:55:00,,,KSFO,,,,,KDTW,,,,,,,,,,,,SFO.CUIT4.SAC.J32.BAM.J94.LCU.Q122.ONL..MCW.J16.BAE.POLAR3.KDTW/0409,,,,,
SKW5383,2013-07-01 05:54:00,,,,,,SKW5383,SKW5383,,P,,,,,,,,,,,2013-07-01 07:02:00,2013-07-01 06:42:00,,,KLAX,,,,,KSBA,,,,,,,,,,,,LAX.LAXN50.KSBA/0020,,,,,
WJA1119,2013-07-01 05:54:00,,,,,,WJA1119,WJA1119,,P,,,,,,,,,,,2013-07-01 10:45:00,2013-07-01 06:45:00,,,KLAS,,,,,CYYZ,,,,,,,,,,,,LAS.STAAV4.DVC..HBU..MCK..DBQ..MONEE..ECK.V216.YWT.YWT5.CYYZ/0400,,,,,
AAY1058,2013-07-01 05:54:01,-155.65,23.8667,480,193,34000,AAY1058,AAY1058,,A,,,,B752,,,,,,,,,,,KBLI,,,,,PHOG,,,,,,,,,,,,BLI.KIENO4.CVV..ONP..HEMLO.A332.HEKAB.A332.HELOP.A332.AUNTI.R463.APACK.HAIKU1.PHOG/0636,,,,,
DAL1149,2013-07-01 05:54:01,-157.6,21.3167,310,237,9900,DAL1149,DAL1149,,A,,,,B753,,,,,,,,,,,KLAX,,,,,PHNL,,,,,,,,,,,,LAX.PRCH9.DINTY.R576.DUSAC.R576.DENNS.MAGGI3.PHNL/0611,,,,,
JBU166,2013-07-01 05:54:02,-107.747,45.7392,482,97,35000,JBU166,JBU166,,A,,,,A320,,,,,,,2013-07-02 09:24:39,2013-07-02 04:31:00,2013-07-01 09:10:20,2013-07-01 04:29:00,KPDX,,,,,KJFK,,,,,,,,,,,,PDX..BTG.J16.PDT.J16.HIA.J16.BIL.J34.BAE..SVM.J70.BROKK.J70.LVZ.LENDY6.KJFK/0918,,,,,
N63CR,2013-07-01 05:54:02,-110.656,43.7511,283,230,9400,N63CR,N63CR,,A,,,,C680,,,,,,,2013-07-01 05:23:04,2013-07-01 03:28:00,2013-07-01 05:55:36,2013-07-01 04:02:00,KICT,,,,,KJAC,,,,,,,,,,,,ICT./.KYLER..HYS..DNW..KJAC/0609,,,,,
ASA147,2013-07-01 05:54:02,-112.861,45.6372,427,302,36000,ASA147,ASA147,,A,,,,B738,,,,,,,2013-07-01 09:24:58,2013-07-01 04:34:00,2013-07-01 09:27:59,2013-07-01 04:37:00,KDEN,,,,,PANC,,,,,,,,,,,,DEN.YAMMI1.LAR..MBW..BOY..GEG..YDC..ANN..BKA..LAIRE..JOH.WITTI1.PANC/0930,,,,,
UAL1411,2013-07-01 05:54:02,-113.913,44.7878,437,305,34000,UAL1411,UAL1411,,A,,,,B739,,,,,,,2013-07-01 06:55:00,2013-07-01 03:08:00,2013-07-01 06:58:51,2013-07-01 03:14:00,KORD,,,,,KPDX,,,,,,,,,,,,ORD./.SIMMN311008..DNJ.J20.PDT..JKNOX.HHOOD1.KPDX/0701,,,,,
SKW6271,2013-07-01 05:54:02,-115.387,43.1603,435,283,32000,SKW6271,SKW6271,,A,,,,CRJ2,,,,,,,2013-07-01 06:23:00,2013-07-01 04:06:00,2013-07-01 06:47:47,2013-07-01 04:30:00,KDEN,,,,,KEUG,,,,,,,,,,,,DEN./.CYS183020..KEUG,,,,,
SKW517R,2013-07-01 05:54:02,-116.643,43.1522,430,39,13600,SKW517R,SKW517R,,A,,,,CRJ2,,,,,,,2013-07-01 06:15:00,2013-07-01 05:08:00,2013-07-01 06:03:08,2013-07-01 04:53:00,KSFO,,,,,KBOI,,,,,,,,,,,,SFO./.SAC025044..BOI..KBOI/0600,,,,,
EIA562,2013-07-01 05:54:02,-118.717,47.6647,459,277,36000,EIA562,EIA562,,A,,,,B744,,,,,,,2013-07-01 05:49:50,2013-07-01 01:10:00,2013-07-01 06:16:18,2013-07-01 01:32:00,KJFK,,,,,KSEA,,,,,,,,,,,,JFK./.GRB114091..MLP.GLASR9.KSEA/0617,,,,,
UAL1522,2013-07-01 05:54:02,-121.836,45.1461,433,120,23400,UAL1522,UAL1522,,A,,,,B738,,,,,,,2013-07-01 10:18:00,2013-07-01 05:38:00,2013-07-01 10:17:30,2013-07-01 05:41:00,KPDX,,,,,KEWR,,,,,,,,,,,,PDX..TIMEE..DNJ..CZI..FSD..DBQ..OBK.J584.SLT.FQM3.KEWR/1029,,,,,
ASA82,2013-07-01 05:54:02,-122.312,47.3731,153,2,1800,ASA82,ASA82,,A,,,,B734,,,,,,,2013-07-02 05:49:06,2013-07-02 02:42:00,2013-07-01 05:49:41,2013-07-01 02:36:00,PANC,,,,,KSEA,,,,,,,,,,,,ANC./.YYJ131022..JAWBN.JAWBN3.KSEA,,,,,
SWA1023,2013-07-01 05:54:02,-122.717,46.2486,450,350,25400,SWA1023,SWA1023,,A,,,,B737,,,,,,,2013-07-01 06:04:00,2013-07-01 04:40:00,2013-07-01 06:14:43,2013-07-01 04:47:00,KOAK,,,,,KSEA,,,,,,,,,,,,OAK./.PYE045031..BTG.OLM8.KSEA/0611,,,,,
UAL226,2013-07-01 05:54:03,-81.0125,30.8497,423,187,36000,UAL226,UAL226,,A,,,,B752,,,,,,,2013-07-01 06:25:00,2013-07-01 04:21:00,2013-07-01 06:19:49,2013-07-01 04:08:00,KEWR,,,,,KMCO,,,,,,,,,,,,EWR./.CHS296035..KMCO,,,,,
UAL564,2013-07-01 05:54:03,-83.6694,28.4772,445,279,32700,UAL564,UAL564,,A,,,,A320,,,,,,,2013-07-01 09:40:00,2013-07-01 05:00:00,2013-07-01 10:13:38,2013-07-01 05:32:00,KMCO,,,,,KLAX,,,,,,,,,,,,MCO./.HITTR165053..W470047021..LEV.J86.CUZZZ.J86.ELP.J50.SSO.J4.TNP.RDEYE2.KLAX,,,,,
AWE151,2013-07-01 05:54:03,-91.3667,38.7456,445,260,36000,AWE151,AWE151,,A,,,,A320,,,,,,,2013-07-01 08:26:00,2013-07-01 03:44:00,2013-07-01 09:02:01,2013-07-01 04:02:00,KPHL,,,,,KSAN,,,,,,,,,,,,PHL./.SUMET296062..STL.J19.FTI.J18.IPL..KSAN/0844,,,,,
UAL1245,2013-07-01 05:54:04,-102.012,38.8819,449,255,36000,UAL1245,UAL1245,,A,,,,B738,,,,,,,2013-07-01 06:44:11,2013-07-01 01:41:00,2013-07-01 07:55:16,2013-07-01 02:55:00,KEWR,,,,,KLAX,,,,,,,,,,,,EWR./.FWA068018..HEC.RIIVR2.KLAX/0758,,,,,
NKS706,2013-07-01 05:54:04,-103.428,40.2231,456,48,34000,NKS706,NKS706,,A,,,,A320,,,,,,,2013-07-01 07:49:24,2013-07-01 03:47:19,2013-07-01 07:50:13,2013-07-01 03:48:00,KDTW,,,,,KLAX,,,,,,,,,,,,DTW./.PMM091030..DBL.J60.HEC..GRAMM.RIIVR2.KLAX/0801,,,,,
BAW274,2013-07-01 05:54:04,-103.636,39.6422,471,67,33100,BAW274,BAW274,,A,,,,B744,,,,,,,2013-07-02 13:36:31,2013-07-02 04:37:00,2013-07-01 13:33:34,2013-07-01 04:33:00,KLAS,,,,,EGLL,,,,,,,,,,,,LAS./.HBU045023..HCT.J128.OBH..KP75G..KG84K..GRB..YYB..BAREE.N129B.YAY..HECKK..5300N/5000W..5400N/4000W..5400N/3000W..5400N/2000W..DOGAL..BEXET..BAKUR.UN546.STU.UP2.OKESI.Y3.BEDEK.OCK2F.EGLL/1324,,,,,
JBU994,2013-07-01 05:54:04,-104.136,39.8819,311,89,15700,JBU994,JBU994,,A,,,,A320,,,,,,,2013-07-02 09:46:23,2013-07-02 05:40:00,2013-07-01 09:12:53,2013-07-01 05:49:00,KDEN,,,,,KBOS,,,,,,,,,,,,DEN.EMMYS2.ZIRKL..OVR..GIJ..DKK..ALB.QUABN2.KBOS/0916,,,,,
JBU14,2013-07-01 05:54:04,-107.314,38.3608,450,67,33000,JBU14,JBU14,,A,,,,A320,,,,,,,2013-07-01 08:59:23,2013-07-01 04:13:00,2013-07-01 09:17:16,2013-07-01 04:27:00,KLGB,,,,,KJFK,,,,,,,,,,,,LGB./.TBC013090..DVC.J146.LNK.J146.GIJ.J554.COHOW.J554.JHW.J70.HOXIE.J70.LVZ.LENDY6.KJFK/0931,,,,,
JBU404,2013-07-01 05:54:04,-110.249,37.4753,449,72,35000,JBU404,JBU404,,A,,,,A320,,,,,,,2013-07-02 09:41:30,2013-07-02 04:36:00,2013-07-01 09:54:04,2013-07-01 04:44:00,KLGB,,,,,KBOS,,,,,,,,,,,,LGB./.TBC325062..DVC.J146.GLD.J80.MCI.J26.BDF.J26.JOT.J146.GIJ.J554.JHW.J82.ALB.QUABN2.KBOS/0958,,,,,
JBU712,2013-07-01 05:54:04,-110.961,36.8783,463,73,33000,JBU712,JBU712,,A,,,,A320,,,,,,,2013-07-01 09:33:49,2013-07-01 05:13:00,2013-07-01 09:41:33,2013-07-01 05:20:00,KLAS,,,,,KJFK,,,,,,,,,,,,LAS./.TBC335039..SPI..BVT..JHW.J70.HOXIE.J70.LVZ.LENDY6.KJFK/0957,,,,,
CFG83,2013-07-01 05:54:04,-58.8833,48.8,580,85,37000,CFG83,CFG83,,A,,,,B763,,,,,,,2013-07-01 10:56:12,2013-07-01 06:10:00,2013-07-01 06:24:28,2013-07-01 00:49:00,KLAS,,,,,CYQX,,,,,,,,,,,,LAS./.4805N/06804W..CYQX,,,,,
DAL268,2013-07-01 05:54:04,-65.5833,44.9833,570,235,33000,DAL268,DAL268,,A,,,,B744,,,,,,,2013-07-01 14:22:00,2013-07-01 04:43:00,2013-07-01 14:07:49,2013-07-01 04:59:00,KJFK,,,,,LLBG,,,,,,,,,,,,JFK./.CYMON..NATZ..LIMRI..NATZ..XETBO..EVRIN..UL607..ELMEM..UN606..SPL..UL607..XORKI..UL607..KEA..UL52..MAGIS..UN134..ASPIS..UN134..ERIMO.N134.SOLIN..H2..SIRON..LLBG,,,,,
JBU804,2013-07-01 05:54:04,-71.9889,38.3942,467,318,35900,JBU804,JBU804,,A,,,,A320,,,,,,,,,,,TJSJ,,,,,KJFK,,,,,,,,,,,,JSJ.GLADA2.MACOR.L455.MCOOP.L455.TASNI.L455.SAVIK.L455.BERGH..OWENZ..CAMRN..KJFK/0629,,,,,
JBU1001,2013-07-01 05:54:04,-75.3889,42.2292,0,118,25000,JBU1001,JBU1001,,A,,,,E190,,,,,,,2013-07-01 06:24:29,2013-07-01 05:30:00,2013-07-01 06:22:28,2013-07-01 05:29:00,KBUF,,,,,KJFK,,,,,,,,,,,,BUF./.IGN.IGN9.KJFK/0629,,,,,
JBU6400,2013-07-01 05:54:04,-77.4708,41.6614,496,86,41000,JBU6400,JBU6400,,A,,,,E190,,,,,,,2013-07-01 06:06:21,2013-07-01 04:15:00,2013-07-01 06:25:25,2013-07-01 04:43:00,KBNA,,,,,KJFK,,,,,,,,,,,,BNA./.JHW162044..STENT.J70.LVZ.LENDY6.KJFK,,,,,
N3SA,2013-07-01 05:54:04,-83.7433,34.6308,379,210,18800,N3SA,N3SA,,A,,,,GLF4,,,,,,,2013-06-30 23:54:15,2013-06-30 21:16:00,2013-07-01 06:04:44,2013-07-01 03:31:00,KBGR,,,,,KRYY,,,,,,,,,,,,BGR./.LVZ316034..PSK240123..SOT.AWSON2.KRYY,,,,,
KLM256,2013-07-01 05:54:05,-61.65,50.25,590,232,37000,KLM256,KLM256,,A,,,,A333,,,,,,,2013-07-01 10:12:28,2013-07-01 02:51:00,2013-07-01 10:33:41,2013-07-01 03:15:00,KATL,,,,,EHAM,,,,,,,,,,,,ATL./.MSS..BAREE.N129B.YAY..NATX..5400N/04000W..NATX..DOGAL..NATX..BEXET..LIFFY..UL975..WAL..UM16..DOLAS..UL603..LAMSO..EHAM,,,,,
JBU500,2013-07-01 05:54:06,-137.85,55.15,430,60,36000,JBU500,JBU500,,A,,,,A320,,,,,,,,,,,KLGB,,,,,PANC,,,,,,,,,,,,LGB./.METPA.B453.KATCH.B453.MDO.YESKA5.ANC,,,,,
DAL2312,2013-07-01 05:54:06,-139.017,57.9333,470,308,34000,DAL2312,DAL2312,,A,,,,B752,,,,,,,2013-07-02 07:09:18,2013-07-02 03:02:00,2013-07-01 06:51:54,2013-07-01 02:51:00,KSLC,,,,,PANC,,,,,,,,,,,,LC./.AKW280083..ELLAM.ELLAM4.ANC,,,,,
AAL285,2013-07-01 05:54:06,-158.35,21.9167,390,261,18700,AAL285,AAL285,,A,,,,B752,,,,,,,,,,,KLAX,,,,,PHLI,,,,,,,,,,,,LAX..DINTY.R576.DENNS..FISHE.V8.ALANA.V16.MORKE..PHLI/0613,,,,,
N90PB,2013-07-01 05:54:06,-164.25,55.7167,180,217,26000,N90PB,N90PB,,A,,,,,,,,,,,2013-07-01 03:51:00,2013-07-01 02:11:00,,,PADL,,,,,PADL,,,,,,,,,,,,LG..DUT,,,,,
AVA14,2013-07-01 05:54:06,-63.3,17.85,500,38,37000,AVA14,AVA14,,A,,,,,,,,,,,2013-07-02 13:09:54,2013-07-02 03:25:00,,,SKCL,,,,,LEMD,,,,,,,,,,,,KCL..MILOK.A516.PJM.A516.RKDIA..2700N/05000W..3200N/04000W..3600N/03000W..3800N/02000W..GUNTI..ASMAR..OGERO.UZ409.TODNO..LEMD/0931,,,,,
AAL973,2013-07-01 05:54:06,-67.0833,18.8667,460,152,35000,AAL973,AAL973,,A,,,,B763,,,,,,,,,,,KJFK,,,,,SBGL,,,,,,,,,,,,JFK./.LUCTI.L454.ELMUC.G431.DDP.A300.KIKER.UA300.GNA.UM423.BVI.UM423.TAROP.UZ6.BSI.UZ6.EGBES..SBGL/1224,,,,,
DAL120,2013-07-01 05:54:06,-67.1167,17.45,480,340,0,DAL120,DAL120,,A,,,,,,,,,,,2013-07-02 09:07:39,2013-07-02 00:05:00,,,SBGR,,,,,KJFK,,,,,,,,,,,,BGR..LUCTI.L454.BERGH.L455.ANNGO.L455.OWENZ..CAMRN..KJFK,,,,,
AVA245,2013-07-01 05:54:06,-74.4733,38.9497,454,210,25600,AVA245,AVA245,,A,,,,A319,,,,,,,2013-07-02 10:32:37,2013-07-02 05:29:00,2013-07-01 10:44:49,2013-07-01 05:34:00,KJFK,,,,,SKBO,,,,,,,,,,,,JFK./.SIE088025..DIW.AR23.PANAL.AR3.NUCAR.AR3.ZQA.B503.ENAMO.UB503.UMZ.UL417.MLY.UA301.EJA.UG431.BUV.A567.VULAM.VULA1E.SKBO,,,,,
TRS121,2013-07-01 05:54:06,-78.8047,37.0269,506,43,33000,TRS121,TRS121,,A,,,,B712,,,,,,,2013-07-01 05:16:47,2013-07-01 03:52:00,2013-07-01 06:32:49,2013-07-01 05:10:00,KATL,,,,,KPHL,,,,,,,,,,,,ATL./.GVE218086..BUKYY.PAATS2.KPHL,,,,,
AAL1902,2013-07-01 05:54:06,-78.8439,35.9722,300,72,5700,AAL1902,AAL1902,,A,,,,MD82,,,,,,,2013-07-01 06:16:00,2013-07-01 03:59:00,2013-07-01 05:56:55,2013-07-01 03:53:00,KDFW,,,,,KRDU,,,,,,,,,,,,DFW./.GQO340023..KRDU*,,,,,
TRS40,2013-07-01 05:54:07,-118.383,33.95,146,216,500,TRS40,TRS40,,A,,,,B737,,,,,,,2013-07-02 05:48:18,2013-07-02 01:39:00,2013-07-01 05:55:47,2013-07-01 01:37:00,KATL,,,,,KLAX,,,,,,,,,,,,ATL./.PKE026025..KONZL.SEAVU2.KLAX/0600,,,,,
N13LY,2013-07-01 05:54:07,-118.783,35.1833,280,,12500,N13LY,N13LY,,A,,,,,,,,,,,2013-06-30 22:47:48,2013-06-30 21:15:00,2013-06-30 22:45:17,2013-06-30 21:15:00,KSAN,,,,,KFAT,,,,,,,,,,,,AN./.VNY031012..TTE..FAT,,,,,
SKW5302,2013-07-01 05:54:07,-122.027,38.9558,435,16,20700,SKW5302,SKW5302,,A,,,,,,,,,,,2013-07-02 07:02:02,2013-07-02 05:36:00,2013-07-01 07:02:28,2013-07-01 05:39:00,KSFO,,,,,KPSC,,,,,,,,,,,,SFO./.OAK306012..PSC..KPSC/0655,,,,,
CPA845,2013-07-01 05:54:07,-73.7697,40.5253,269,128,3800,CPA845,CPA845,,A,,,,B77W,,,,,,,2013-07-01 20:06:58,2013-07-01 05:45:00,2013-07-01 20:14:58,2013-07-01 05:53:00,KJFK,,,,,VHHH,,,,,,,,,,,,JFK..MERIT..HFD..PUT..4500N/06900W..5000N/06500W..5530N/06000W..6230N/05000W..6500N/04600W..6530N/04500W..7230N/03500W..7530N/02500W..7630N/02000W..7900N/00000E..8000N/02000E..PIREL.R705.SAKAT.R705.BRT.G490.SERNA.A310.POLHO.G218.TMR.B458.KR.XXX.VHHH/2043,,,,,
UAL344,2013-07-01 05:54:07,-74.15,40.7167,131,201,400,UAL344,UAL344,,A,,,,B752,,,,,,,,,2013-07-01 05:46:30,2013-07-01 00:41:00,KSFO,,,,,KEWR,,,,,,,,,,,,SFO./.SLT..FQM.FQM3.KEWR/0548,,,,,
CLX837,2013-07-01 05:54:07,-82.6333,45.9833,520,257,33000,CLX837,CLX837,,A,,,,B748,,,,,,,2013-07-01 12:09:46,2013-07-01 01:47:00,2013-07-01 12:22:38,2013-07-01 02:08:00,KLAX,,,,,LIMC,,,,,,,,,,,,LAX./.BAREE.N115B.DOTTY..NATY..5200N/05000W..NATY..5300N/03000W..NATY..5300N/02000W..NATY..MALOT..NATY..GISTI..LESLU..UM142..LND..UN160..PIGOP..UN491..RESMI..UL612..MILPA..UM135..TOP..LIMC,,,,,
