#object_id,update_time,longitude,latitude,speed,heading,altitude,ads_callsign,iata_callsign,squawk,status,aircraft_category,aircraft_construction_number,registration,aircraft_type,aircraft_type_full,airframe_mode_s_id,operator_category,airline,airline_iata,airline_icao,scheduled_arrival_time,scheduled_departure_time,actual_arrival_time,actual_departure_time,origin,origin_full,origin_iata,origin_longitude,origin_latitude,destination,destination_full,destination_iata,destination_longitude,destination_latitude,distance_from_origin,distance_to_destination,distance_from_origin_to_destination,percent_complete,is_blocked,is_general_aviation,route,route_faa,route_full,route_iata,sending_center_id,sending_center_id_full,waypoints
DAL54,2013-07-01 05:53:50,-66.75,28.25,,,33000,DAL54,DAL54,,A,,,,,,,,,,,,,,,KATL,,,,,DNMM,,,,,,,,,,,,ATL..CHS105019..JAINS.L375.DUNIG..2600N/06000W..2500N/05000W..2300N/04000W..ERNEK..LUMPO.UR976.YF.UA601.ENINO.UA601.EBSUD.UA601.BIGOM.UA601.TYE.UA609.POLTO.UA609.LAG..DNMM,,,,,
UAL48,2013-07-01 05:53:53,-42.1,58.4167,530,61,33000,UAL48,UAL48,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAL86,2013-07-01 05:53:53,-74.0833,47.4,510,356,31000,KAL86,KAL86,,A,,,,B77W,,,,,,,2013-07-02 18:40:59,2013-07-02 05:13:00,2013-07-01 17:48:33,2013-07-01 05:01:00,KJFK,,,,,RKSI,,,,,,,,,,,,JFK./.5000N/07430W..5500N/07600W..6000N/07730W..6500N/08000W..7000N/08300W..7500N/08900W..8000N/10100W..RESUM..RAMEL.G491.UNELI.G491.GIKSI.G493.BEDNA.G115.ARKOD.G494.NALEB.G494.NINON.G494.BANIR.G494.SIMLI.A588.CHI..W107..SANKO.A326.DONVO.G597.AGAVO..Y644..REBIT..RKSI,,,,,
BAW288,2013-07-01 05:53:54,-82.9333,45.7167,510,76,35000,BAW288,BAW288,,A,,,,B744,,,,,,,2013-07-02 12:10:42,2013-07-02 02:45:00,2013-07-01 11:34:17,2013-07-01 02:37:00,KPHX,,,,,EGLL,,,,,,,,,,,,PHX./.YYB..BAREE.N129B.YAY..HECKK..5300N/05000W..5400N/04000W..5400N/03000W..5400N/02000W..DOGAL..BEXET..BAKUR..UN546..STU..UP2..OKESI..Y3..BEDEK..OCK2F..EGLL,,,,,
DAL248,2013-07-01 05:53:55,-49.1667,59.0167,560,84,37000,DAL248,DAL248,,A,,,,B772,,,,,,,2013-07-02 09:01:10,2013-07-02 02:32:00,2013-07-01 09:46:09,2013-07-01 02:52:00,KDTW,,,,,EHAM,,,,,,,,,,,,DTW./.5900N/05000W..5900N/04000W..5900N/03000W..5900N/02000W..GOMUP..GINGA..EHAM,,,,,
ANZ2,2013-07-01 05:53:55,-53.0667,52.2833,610,51,34000,ANZ2,ANZ2,,A,,,,B77W,,,,,,,2013-07-02 09:57:47,2013-07-02 00:08:00,2013-07-01 09:34:49,2013-07-01 00:03:00,KLAX,,,,,EGLL,,,,,,,,,,,,LAX./.HECKK..NATX..5300N/05000W..5400N/04000W..5400N/03000W..5400N/02000W..DOGAL..BEXET..BAKUR..UN546..STU..UP2..OKESI..Y3..BEDEK..EGLL,,,,,
DAL61,2013-07-01 05:53:56,-66.35,17.55,480,146,33000,DAL61,DAL61,,A,,,,,,,,,,,,,,,KATL,,,,,SBGL,,,,,,,,,,,,ATL./.AMG181025..WLKER..EXTER..RENAH.Y585.ELMUC.G431.BEANO.G431.DDP.G449.ANADA.UG449.IBERT.UL776.AMVER.UL776.PAMOP.UZ24.OBDUR..MOLTI..LUVSU..PANAP..POSTA..SAPGI..KOLTU..MINUX..SBGL/1218,,,,,
JBU1103,2013-07-01 05:53:56,-66.55,19.5667,440,158,18000,JBU1103,JBU1103,,A,,,,A320,,,,,,,,,,,KJFK,,,,,TJSJ,,,,,,,,,,,,JFK..SHIPP..LINND..RESQU..SKPPR.L455.MCOOP.L455.LENNT.A300.PLING.RTE7.SJU..TJSJ/0611,,,,,
CFG234,2013-07-01 05:53:56,-67.9167,20,390,223,36000,CFG234,CFG234,,A,,,,,,,,,,,,,,,EDDF,,,,,MDSD,,,,,,,,,,,,DDF.SOBRA4L.SOBRA.Y180.NISIV.UY180.DIK..TOLVU.UN857.GIMER.UT300.EVX.UT176.LGL.UN491.KOKOS.UN585.REGHI.UN480.ETIKI..4700N/01500W..4600N/02000W..4300N/03000W..4100N/04000W..3900N/04500W..3600N/05000W..SIFEN.M596.NUBUS..JANMA.M597.PIXAR.UA319.CDO..MDSD/0951,,,,,
AZA62J,2013-07-01 05:53:57,-51.1,48.7667,550,249,37000,AZA62J,AZA62J,,A,,,,B772,,,,,,,2013-07-01 11:00:49,2013-06-30 23:48:00,2013-07-01 10:54:11,2013-06-30 23:46:00,KLAX,,,,,LIRF,,,,,,,,,,,,LAX./.LOGSU..4900N/05000W..5000N/04000W..5000N/03000W..4800N/02000W..4700N/01500W..SEPAL..UN470..LAPEX..UN470..CNA..UN460..LMG..UN10..BEBIX..UP860..ADEKA..UZ161..LERGA..UT183..OTROT..UM728..RATAP..UM728..BTA..UL146..ELKAP..LIRF,,,,,
UAL423,2013-07-01 05:53:58,-120.483,37.6833,447,109,27600,UAL423,UAL423,,A,,,,A320,,,,,,,2013-07-01 06:04:23,2013-07-01 04:02:00,2013-07-01 06:14:23,2013-07-01 04:10:00,KDEN,,,,,KSFO,,,,,,,,,,,,DEN./.DBL052059..OAL.MOD4.KSFO/0616,,,,,
N802Q,2013-07-01 05:53:58,-96.9042,33.2456,187,0,18400,N802Q,N802Q,,A,,,,C550,,,,,,,2013-07-01 01:21:22,2013-06-30 23:31:00,2013-07-01 07:48:47,2013-07-01 05:44:00,KDAL,,,,,KFSD,,,,,,,,,,,,DAL./.FUZ065014..FSD,,,,,
UAL531,2013-07-01 05:53:58,-96.9725,32.4944,400,315,34000,UAL531,UAL531,,A,,,,A319,,,,,,,2013-07-01 08:58:00,2013-07-01 05:04:00,2013-07-01 09:23:37,2013-07-01 05:25:00,KIAH,,,,,KSEA,,,,,,,,,,,,IAH./.FZT243039..PDT.CHINS8.KSEA,,,,,
SWA2872,2013-07-01 05:53:59,-89.3742,41.4225,403,81,24000,SWA2872,SWA2872,,A,,,,B737,,,,,,,2013-07-01 06:05:00,2013-07-01 02:50:00,2013-07-01 06:10:11,2013-07-01 02:59:00,KLAS,,,,,KMDW,,,,,,,,,,,,LAS./.PWE278022..IOW133027..MZV..BDF.MOTIF4.KMDW,,,,,
KLM735,2013-07-01 05:53:59,,,,,,KLM735,KLM735,,P,,,,,,,,,,,2013-07-01 17:08:25,2013-07-01 08:00:00,,,EHAM,,,,,TNCC,,,,,,,,,,,,HAM..VALKO.UL980.MANGO.UL620.SAM.UN20.GAPLI..OMOKO..4600N/02000W..4200N/03000W..3800N/04000W..3600N/05000W..AYTTE..OPAUL..SCAPA.UG431.BEXER..TNCC/0854,,,,,
UAL201T,2013-07-01 05:54:00,158.217,21,,,39000,UAL201T,UAL201T,,A,,,,,,,,,,,,,,,PHNL,,,,,PGUM,,,,,,,,,,,,HNL.KEOLA2.SOK..DANNO..ECEDO..2700N/17000W..2700N/18000E..2500N/17000E..2200N/16000E..1600N/15000E..STINE.A450.BAGBE..PGUM,,,,,
DAL153,2013-07-01 05:54:00,-76.1833,67.25,480,82,37000,DAL153,DAL153,,A,,,,A333,,,,,,,2013-07-02 10:35:44,2013-07-02 01:30:00,2013-07-01 11:09:29,2013-07-01 02:01:00,KSEA,,,,,EHAM,,,,,,,,,,,,SEA./.CANEL..6800N/06000W..6800N/05000W..6700N/04000W..6600N/03000W..6500N/02000W..6300N/01000W..LIRKI..UL7..SUM..UL7..PELET..UL74..TOPPA..EHAM,,,,,
AAL1062,2013-07-01 05:54:00,,,,,,AAL1062,AAL1062,,P,,,,B738,,,,,,,2013-07-01 10:26:00,2013-07-01 06:48:00,,,KLAX,,,,,KORD,,,,,,,,,,,,LAX.OSHNN4.DAG.J146.DVC.J146.GLD.J192.PWE..IRK.BENKY1.KORD/0338,,,,,
ACA594,2013-07-01 05:54:00,,,,,,ACA594,ACA594,,P,,,,A321,,,,,,,2013-07-01 10:28:34,2013-07-01 06:35:00,,,KLAS,,,,,CYYZ,,,,,,,,,,,,LAS.STAAV4.DVC..HLC..KK60G..IRK..GIJ..SVM..YXU..YWT.YWT5.CYYZ/0351,,,,,
DAL17,2013-07-01 05:54:00,,,,,,DAL17,DAL17,,P,,,,,,,,,,,2013-07-01 20:17:00,2013-07-01 06:40:00,,,KLAX,,,,,YSSY,,,,,,,,,,,,LAX.PRCH9.FICKY..3000N/12500W..2800N/13000W..2200N/14000W..1800N/14500W..1400N/15000W..1000N/15500W..0700N/16000W..0400N/16500W..0200S/17000W..0600S/17500W..1000S/18000W..1400S/17500E..1800S/17000E..2000S/16800E..2300S/16500E..2600S/16300E..NATLI..ABARB..SHARK.N774.SY..YSSY/1337,,,,,
