Undelimited line header with additional and maybe irrelevant information
This part of the file is not intended to be processed

# object_id timestamp latitude longitude altitude heading speed
KKK011,2004-12-07 11:36:18,-81.9731,26.995,2700,108,349,0
#KKK011,2004-12-07 11:37:56,-81.9844,27.0447,4200,108,349,-27
#  KKK011,2004-12-07 11:39:18,-82.0458,27.1136,6700,225,322,-22
KKK011,2004-12-07 11:40:18,-82.0961,27.1389,7900,180,300,5
KKK011#,2004-12-07 11:41:18,-82.1442,27.1683,9200,181,305,-2
#
#
KKK011,2004-12-07 11:42:18,-82.1967,27.1978,10300,193,303,-1
KKK011,2004-12-07 11:43:18,-82.2469,27.2253,11300,183,302,0
KKK011,2004-12-07 11:44:18,-82.2997,27.2544,12500,193,302,1
# KKK011,2004-12-07 11:45:18,-82.3525,27.2839,13500,194,303,6
# KKK011,2004-12-07 11:46:18,-82.4008,27.3175,14400,190,309,-8
KKK011,2004-12-07 11:47:18,-82.4558,27.3467,15300,199,301,-47
KKK011,2004-12-07 11:48:18,-82.5206,27.3294,16000,210,254,12
KKK011,2004-12-07 11:49:18,-82.5881,27.3247,16400,210,266,38
KKK011,2004-12-07 11:50:18,-82.6411,27.3561,16500,198,304,41
KKK011,2004-12-07 11:51:18,-82.6578,27.4094,16500,193,345,34
KKK011,2004-12-07 11:52:18,-82.6392,27.4561,16500,173,19,32
KKK011,2004-12-07 11:53:18,-82.5983,27.485,16500,162,51,36
KKK011,2004-12-07 11:54:18,-82.5447,27.4872,16500,166,87,32
