# object_id timestamp latitude longitude altitude heading speed
WWW023,2004-12-07 12:26:08,-75.3369,41.1942,10000,144,144,3
KKK011,2004-12-07 12:26:18,-82.4317,27.3725,16500,166,149,28
NNN014,2004-12-07 12:26:54,-74.4167,41.5833,12700,146,284,6
WWW023,2004-12-07 12:27:06,-75.3042,41.1558,10600,165,147,38
KKK011,2004-12-07 12:27:18,-82.4289,27.3206,16500,181,177,43
NNN014,2004-12-07 12:27:52,-74.4581,41.5944,13100,119,290,-7
WWW023,2004-12-07 12:28:06,-75.3092,41.1097,11400,161,185,100
KKK011,2004-12-07 12:28:18,-82.4689,27.2772,16500,196,220,38
NNN014,2004-12-07 12:28:52,-74.5139,41.6039,13700,149,283,1
WWW023,2004-12-07 12:29:07,-75.3539,41.1186,12100,119,285,122
KKK011,2004-12-07 12:29:18,-82.5336,27.2642,16500,206,258,42
NNN014,2004-12-07 12:29:52,-74.5558,41.6117,14100,113,284,-1
WWW023,2004-12-07 12:30:07,-75.3225,41.1406,12700,113,47,102
KKK011,2004-12-07 12:30:18,-82.5886,27.2914,16500,195,300,34
NNN014,2004-12-07 12:30:52,-74.6117,41.6208,14600,149,283,2
WWW023,2004-12-07 12:31:08,-75.2953,41.1061,13300,138,149,69
KKK011,2004-12-07 12:31:18,-82.6144,27.3383,16500,182,334,38
WWW023,2004-12-07 12:32:05,-75.3289,41.0736,14100,151,218,128
NNN014,2004-12-07 12:32:18,-74.6789,41.6342,15300,127,285,-18
KKK011,2004-12-07 12:32:18,-82.6028,27.3847,16500,166,12,28
NNN014,2004-12-07 12:32:54,-74.7,41.6333,15600,92,267,24
WWW023,2004-12-07 12:33:07,-75.3392,41.1044,15100,107,346,144
KKK011,2004-12-07 12:33:18,-82.5694,27.4194,16500,159,40,33
WWW023,2004-12-07 12:34:05,-75.3019,41.0808,16000,132,130,47
KKK011,2004-12-07 12:34:18,-82.5233,27.4317,16500,149,73,33
NNN014,2004-12-07 12:34:19,-74.7744,41.6539,16200,146,291,-10
WWW023,2004-12-07 12:35:07,-75.2986,41.0331,16800,161,177,-65
KKK011,2004-12-07 12:35:18,-82.4736,27.4189,16500,160,106,28
NNN014,2004-12-07 12:35:19,-74.8219,41.6606,16600,126,281,1
WWW023,2004-12-07 12:36:08,-75.2508,41.0183,17000,134,112,-111
KKK011,2004-12-07 12:36:18,-82.4369,27.3869,16500,159,134,36
NNN014,2004-12-07 12:36:20,-74.8808,41.6692,16800,154,282,6
WWW023,2004-12-07 12:37:05,-75.2486,41.0683,16700,184,1,-6
NNN014,2004-12-07 12:37:17,-74.9428,41.6836,16800,178,288,-5
KKK011,2004-12-07 12:37:18,-82.4272,27.3331,16500,190,170,37
WWW023,2004-12-07 12:38:06,-75.2547,41.1181,16700,172,355,5
NNN014,2004-12-07 12:38:18,-75.0044,41.6939,16900,162,283,-63
KKK011,2004-12-07 12:38:18,-82.4553,27.2839,16500,193,207,43
WWW023,2004-12-07 12:39:07,-75.2556,41.1722,16600,186,0,-2
KKK011,2004-12-07 12:39:18,-82.5197,27.2628,16500,213,250,42
NNN014,2004-12-07 12:39:19,-75.0386,41.6633,16900,137,220,-48
WWW023,2004-12-07 12:40:05,-75.2586,41.2181,16600,166,358,2
NNN014,2004-12-07 12:40:18,-75.0303,41.6181,16800,162,172,116
KKK011,2004-12-07 12:40:18,-82.5789,27.2833,16500,197,292,35
NNN014,2004-12-07 12:41:18,-75.0753,41.6289,16800,123,288,15
WWW023,2004-12-07 12:41:18,-75.2578,41.2867,16700,197,0,0
KKK011,2004-12-07 12:41:18,-82.6117,27.3281,16500,187,327,38
KKK011,2004-12-07 12:42:18,-82.6069,27.3761,16500,168,5,28
NNN014,2004-12-07 12:42:20,-75.1356,41.6578,16900,181,303,0
WWW023,2004-12-07 12:42:20,-75.2583,41.3389,16700,176,0,2
KKK011,2004-12-07 12:43:18,-82.5786,27.4147,16500,161,33,38
NNN014,2004-12-07 12:43:20,-75.1814,41.6792,17000,141,303,-4
WWW023,2004-12-07 12:43:20,-75.2558,41.3847,16700,160,2,-2
NNN014,2004-12-07 12:44:17,-75.2383,41.7019,16900,177,299,4
WWW023,2004-12-07 12:44:17,-75.2567,41.4367,16700,191,0,0
